Abbrev Tags,Tags output,amount_commits,recorrent pattern,excluded scenarios,% recorrent pattern - gross,% recorrent pattern - net
AddBuildAsset (existing templates),['Addedbuild' - 'addAsset' - 'no-fm-tag-changed'],17,16,1,"94,12%","100,00%"
AddBuildAssetCA,['Addedbuild' - 'addAsset' - 'changeAsset' - 'no-fm-tag-changed'],54,25,19,"46,30%","71,43%"
AddBuild,['Addedbuild' - 'no-am-tag-changed' - 'no-fm-tag-changed'],12,6,0,"50,00%","50,00%"
RemBuild,['Removebuild' - 'no-am-tag-changed' - 'no-fm-tag-changed'],4,2,0,"50,00%","50,00%"
AddDep,['AddedDepends' - 'no-am-tag-changed' - 'no-ck-tag-changed'],26,14,4,"53,85%","63,64%"
AddDepCA,['AddedDepends' - 'changeAsset' - 'no-ck-tag-changed'],7,2,4,"28,57%","66,67%"
ModBuildAddAssetCA,['Modifybuild' - 'addAsset' - 'changeAsset' - 'no-fm-tag-changed'],33,18,14,"54,55%","94,74%"
RemAssetCA,['changeAsset' - 'no-ck-tag-changed' - 'no-fm-tag-changed' - 'removeAsset'],27,15,6,"55,56%","71,43%"
NewDep,['NewDepends' - 'no-am-tag-changed' - 'no-ck-tag-changed'],16,8,0,"50,00%","50,00%"
AddAssetCA,['addAsset' - 'changeAsset' - 'no-ck-tag-changed' - 'no-fm-tag-changed'],103,25,49,"24,27%","46,30%"
RemBuildAssetCA,['Removebuild' - 'changeAsset' - 'no-fm-tag-changed' - 'removeAsset'],7,5,1,"71,43%","83,33%"
NewSelectCA,['NewSelect' - 'changeAsset' - 'no-ck-tag-changed'],17,14,1,"82,35%","87,50%"
AddFeatNewDepCA,['AddedFeature' - 'NewDepends' - 'changeAsset' - 'no-ck-tag-changed'],6,4,1,"66,67%","80,00%"
AddBuildCA,['Addedbuild' - 'changeAsset' - 'no-fm-tag-changed'],12,3,6,"25,00%","50,00%"
ModMappAddAssetCA,['ModifyMapping' - 'addAsset' - 'changeAsset' - 'no-fm-tag-changed'],6,3,0,"50,00%","50,00%"
AddFeatBuildAssetNewDepCA,['AddedFeature' - 'Addedbuild' - 'NewDepends' - 'addAsset' - 'changeAsset'],6,2,2,"33,33%","50,00%"
ModDeppCA,['ModifyDepends' - 'changeAsset' - 'no-ck-tag-changed'],5,2,2,"40,00%","66,67%"
AddMappAssetCA,['AddedMapping' - 'addAsset' - 'changeAsset' - 'no-fm-tag-changed'],16,7,7,"43,75%","77,78%"
AddSelectCA,['AddedSelect' - 'changeAsset' - 'no-ck-tag-changed'],36,27,4,"75,00%","84,38%"
RemSelAssetCA,['RemoveSelect' - 'changeAsset' - 'no-ck-tag-changed' - 'removeAsset'],3,3,0,"100,00%","100,00%"
RemDepFeatCA,['RemoveDepends' - 'RemoveFeature' - 'changeAsset' - 'no-ck-tag-changed'],5,2,1,"40,00%","50,00%"
ModMapp&BuildCA,['ModifyMapping' - 'Modifybuild' - 'changeAsset' - 'no-fm-tag-changed'],6,2,3,"33,33%","66,67%"
ModDepp,['ModifyDepends' - 'no-am-tag-changed' - 'no-ck-tag-changed'],13,6,0,"46,15%","46,15%"
RemBuildCA,['Removebuild' - 'changeAsset' - 'no-fm-tag-changed'],3,2,0,"66,67%","66,67%"
AddMappCA,['AddedMapping' - 'changeAsset' - 'no-fm-tag-changed'],4,4,0,"100,00%","100,00%"
AddDefFeatCA,['AddedDefault' - 'AddedFeature' - 'changeAsset' - 'no-ck-tag-changed'],5,3,2,"60,00%","100,00%"
ModBuildRemAssetCA,['Modifybuild' - 'changeAsset' - 'no-fm-tag-changed' - 'removeAsset'],3,3,0,"100,00%","100,00%"
Mod&RemBuild&AssetCA,['Modifybuild' - 'Removebuild' - 'changeAsset' - 'no-fm-tag-changed' - 'removeAsset'],3,3,0,"100,00%","100,00%"
AddBuildIfAsset,['Addedbuild' - 'Addedifdef' - 'addAsset' - 'no-fm-tag-changed'],5,4,0,"80,00%","80,00%"
Add&ModBuildCA,['Addedbuild' - 'Modifybuild' - 'changeAsset' - 'no-fm-tag-changed'],9,5,4,"55,56%","100,00%"
AddSelect,['AddedSelect' - 'no-am-tag-changed' - 'no-ck-tag-changed'],16,16,0,"100,00%","100,00%"
NewSelect,['NewSelect' - 'no-am-tag-changed' - 'no-ck-tag-changed'],17,14,0,"82,35%","82,35%"
ModSelect,['ModifySelect' - 'no-am-tag-changed' - 'no-ck-tag-changed'],8,5,0,"62,50%","62,50%"
AddFeatCA,['AddedFeature' - 'changeAsset' - 'no-ck-tag-changed'],5,3,0,"60,00%","60,00%"
Add&ModBuild&AddAssetCA,['Addedbuild' - 'Modifybuild' - 'addAsset' - 'changeAsset' - 'no-fm-tag-changed'],13,6,5,"46,15%","75,00%"
ModMappCA,['ModifyMapping' - 'changeAsset' - 'no-fm-tag-changed'],4,3,1,"75,00%","100,00%"
Add&ModBuildAddAsset,['Addedbuild' - 'Modifybuild' - 'addAsset' - 'no-fm-tag-changed'],3,3,0,"100,00%","100,00%"
Add&RemBuild&IfAddAsset,['Addedbuild' - 'Removebuild' - 'Removeifdef' - 'addAsset' - 'no-fm-tag-changed'],6,6,0,"100,00%","100,00%"
Add&ModBuildIf,['Addedbuild' - 'Addedifdef' - 'Modifybuild' - 'no-am-tag-changed' - 'no-fm-tag-changed'],3,3,0,"100,00%","100,00%"
Add&ModBuild,['Addedbuild' - 'Modifybuild' - 'no-am-tag-changed' - 'no-fm-tag-changed'],7,7,0,"100,00%","100,00%"
AddBuild&If,['Addedbuild' - 'Addedifdef' - 'no-am-tag-changed' - 'no-fm-tag-changed'],6,6,0,"100,00%","100,00%"
ModBuild,['Modifybuild' - 'no-am-tag-changed' - 'no-fm-tag-changed'],22,22,0,"100,00%","100,00%"
ModFeat&MappCA,['ModifyFeature' - 'ModifyMapping' - 'changeAsset'],3,2,0,"66,67%","66,67%"
ModBuildCA,['Modifybuild' - 'changeAsset' - 'no-fm-tag-changed'],8,4,4,"50,00%","100,00%"
AddFeat&Mapp&Asset&DepCA,['AddedFeature' - 'AddedMapping' - 'NewDepends' - 'addAsset' - 'changeAsset'],4,1,3,"25,00%","100,00%"
AddFea&Def&Dep&CA,['AddedFeature' - 'NewDefault' - 'NewDepends' - 'changeAsset' - 'no-ck-tag-changed'],4,2,1,"50,00%","66,67%"
Add&NewDepFeatDefCA,['AddedDepends' - 'AddedFeature' - 'NewDefault' - 'NewDepends' - 'changeAsset' - 'no-ck-tag-changed'],5,2,2,"40,00%","66,67%"
Add&NewSel,['AddedSelect' - 'NewSelect' - 'no-am-tag-changed' - 'no-ck-tag-changed'],5,4,0,"80,00%","80,00%"