amount,tags
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['ModifyDepends'| 'RemoveDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'ModifyDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['RemoveDepends'| 'RemoveSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'Addedbuild'| 'ModifyDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'ModifyDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['ModifySelect'| 'RemoveFeature'| 'RemoveSelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'no-am-tag-changed']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'ModifyFeature'| 'no-am-tag-changed']
1, Tags = ['ModifyFeature'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'no-am-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'Removebuild'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifyifdef'| 'Removeifdef'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Removebuild'| 'Removeifdef'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Removebuild'| 'Removeifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Modifyifdef'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['Removebuild'| 'Removeifdef'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['ModifyMapping'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['Modifybuild'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'ModifyDefault'| 'ModifyDepends'| 'NewDepends'| 'NewSelect'| 'RemoveMapping'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'Removebuild'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'Modifybuild'| 'Modifyifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'ModifyMapping'| 'NewDepends'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'changeAsset']
1, Tags = ['AddedSelect'| 'Modifybuild'| 'addAsset'| 'changeAsset']
1, Tags = ['Modifybuild'| 'addAsset'| 'no-fm-tag-changed']
1, Tags = ['RemoveFeature'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedMapping'| 'AddedSelect'| 'addAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'ModifyMenu'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifyifdef'| 'Removebuild'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Removebuild'| 'Removeifdef'| 'no-am-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['Addedbuild'| 'ModifyMapping'| 'RemoveDefault'| 'RemoveDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'ModifyFeature'| 'ModifyMapping'| 'Modifybuild'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'Removeifdef'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['ModifyFeature'| 'ModifyMapping'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'changeAsset'| 'removeAsset']
1, Tags = ['RemoveDepends'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'ModifySelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'changeAsset'| 'no-ck-tag-changed'| 'removeAsset']
1, Tags = ['Removebuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifyDepends'| 'ModifyMapping'| 'Modifybuild'| 'NewSelect'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['ModifyFeature'| 'ModifySelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'NewSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedSelect'| 'ModifyDepends'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['ModifySelect'| 'Removebuild'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'ModifyDepends'| 'ModifyMapping'| 'Modifybuild'| 'changeAsset']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'NewDepends'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'addAsset'| 'removeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'ModifyMapping'| 'Modifybuild'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedDepends'| 'Addedbuild'| 'ModifyDepends'| 'ModifyFeature'| 'Modifybuild'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'Addedbuild'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'ModifyDepends'| 'ModifySelect'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'NewSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'ModifyDepends'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedSelect'| 'ModifySelect'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['ModifyMapping'| 'ModifySelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedMenu'| 'AddedSelect'| 'Addedbuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyDepends'| 'ModifyFeature'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'ModifyMapping'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'AddedMapping'| 'NewDepends'| 'addAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyMapping'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedSelect'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifySelect'| 'NewSelect'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyMenu'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['ModifyDepends'| 'addAsset'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['ModifyMapping'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'NewDefault'| 'NewDepends'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDefault'| 'AddedDepends'| 'AddedFeature'| 'NewDefault'| 'NewDepends'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'ModifyMapping'| 'ModifySelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['ModifyFeature'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMenu'| 'Addedbuild'| 'NewDefault'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'ModifyDepends'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'RemoveMapping'| 'changeAsset']
1, Tags = ['ModifyMapping'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['addAsset'| 'no-ck-tag-changed'| 'no-fm-tag-changed']
1, Tags = ['AddedDefault'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Modifybuild'| 'Removebuild'| 'changeAsset'| 'removeAsset']
1, Tags = ['RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'NewDepends'| 'NewSelect'| 'changeAsset'| 'no-ck-tag-changed']
1, Tags = ['RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'NewSelect'| 'addAsset'| 'changeAsset']
1, Tags = ['ModifyDepends'| 'ModifyFeature'| 'no-am-tag-changed'| 'no-ck-tag-changed']
1, Tags = ['AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'changeAsset']
1, Tags = ['AddedSelect'| 'Addedbuild'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'NewDefault'| 'NewDepends'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifyMapping'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'ModifyMapping'| 'NewSelect'| 'changeAsset']
1, Tags = ['ModifyDepends'| 'Modifybuild'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'ModifyDepends'| 'Modifybuild'| 'NewDefault'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedSelect'| 'ModifyMapping'| 'changeAsset']
1, Tags = ['AddedFeature'| 'AddedSelect'| 'Modifybuild'| 'addAsset'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewSelect'| 'RemoveDefault'| 'RemoveDepends'| 'RemoveFeature'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMapping'| 'Addedbuild'| 'NewDefault'| 'no-am-tag-changed']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMenu'| 'Addedbuild'| 'ModifyMenu'| 'NewSelect'| 'Removebuild'| 'changeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'addAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'ModifyDepends'| 'ModifySelect'| 'Modifybuild'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedFeature'| 'AddedMenu'| 'Addedbuild'| 'addAsset'| 'changeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed']
1, Tags = ['Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMenu'| 'Addedbuild'| 'ModifyMenu'| 'NewSelect'| 'Removebuild'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'addAsset'| 'changeAsset'| 'no-fm-tag-changed'| 'removeAsset']
1, Tags = ['AddedDepends'| 'AddedFeature'| 'AddedMapping'| 'AddedSelect'| 'Addedbuild'| 'Addedifdef'| 'ModifyDefault'| 'ModifyDepends'| 'ModifyFeature'| 'ModifyMapping'| 'ModifySelect'| 'Modifybuild'| 'NewDefault'| 'NewDepends'| 'NewSelect'| 'RemoveDepends'| 'RemoveFeature'| 'RemoveMapping'| 'RemoveSelect'| 'addAsset'| 'changeAsset'| 'removeAsset']
1, Tags = ['AddedMapping'| 'Addedbuild'| 'Addedifdef'| 'Modifybuild'| 'RemoveMapping'| 'Removebuild'| 'changeAsset'| 'no-fm-tag-changed']
